name,brand,notes,category,longevity,projection,type
L'Aventure,Al Haramain,lemon pineapple musk,fruity fresh,8,strong,arabic
Detour Noir,Al Haramain,apple vanilla spice,warm sweet,9,strong,arabic
Shaghaf Oud,Swiss Arabian,oud praline vanilla,sweet oud,10,strong,arabic
Shaghaf Oud Aswad,Swiss Arabian,rose oud spice,floral oud,10,strong,arabic
Erba Pura,Xerjoff,fruit vanilla musk,sweet fruity,10,strong,niche
Alexandria II,Xerjoff,lavender oud cinnamon,spicy oud,10,strong,niche
Nio,Xerjoff,bergamot green citrus,fresh citrus,7,moderate,niche
Richwood,Xerjoff,sandalwood patchouli rose,woody,9,strong,niche
Oud Ispahan,Dior,rose oud labdanum,floral oud,10,strong,designer
Feve Delicieuse,Dior,tonka vanilla caramel,gourmand,10,strong,designer
Ambre Nuit,Dior,amber rose spice,warm spicy,9,strong,designer
Gris Dior,Dior,rose moss citrus,floral fresh,8,moderate,designer
Bois d'Argent,Dior,iris honey wood,woody sweet,9,moderate,designer
Eau Sauvage,Dior,lemon herbs oakmoss,fresh classic,7,moderate,designer
Allure Homme Sport,Chanel,orange vanilla tonka,fresh sweet,7,strong,designer
Allure Homme Edition Blanche,Chanel,lemon vanilla cream,fresh sweet,7,moderate,designer
Platinum Egoiste,Chanel,lavender oakmoss citrus,fresh green,7,moderate,designer
Antaeus,Chanel,leather castoreum spice,leather,9,strong,designer
Pour Monsieur,Chanel,lemon neroli spice,fresh classic,7,moderate,designer
Terre d'Hermes,Hermes,orange vetiver cedar,woody fresh,8,moderate,designer
H24,Hermes,clary sage metallic green,fresh modern,7,moderate,designer
Voyage d'Hermes,Hermes,cardamom citrus musk,fresh spicy,7,moderate,designer
Un Jardin sur le Nil,Hermes,green mango lotus,fresh green,7,moderate,designer
Declaration,Hermes,cardamom cedar spice,woody spicy,8,moderate,designer
Light Blue Intense,Dolce & Gabbana,lemon apple musk,fresh aquatic,7,moderate,designer
The One,Dolce & Gabbana,tobacco amber spice,warm spicy,8,moderate,designer
K,Dolce & Gabbana,lemon fig cedar,fresh,7,moderate,designer
Pour Homme,Dolce & Gabbana,citrus lavender tobacco,fresh classic,7,moderate,designer
Intenso,Dolce & Gabbana,tobacco lavender wood,woody,8,moderate,designer
Boss Bottled,Hugo Boss,apple cinnamon vanilla,warm sweet,8,moderate,designer
Boss The Scent,Hugo Boss,ginger leather spice,spicy sweet,8,strong,designer
Boss Infinite,Hugo Boss,apple cinnamon sage,fresh spicy,7,moderate,designer
Boss Oud,Hugo Boss,oud sandalwood amber,woody oud,9,strong,designer
Explorer,Montblanc,bergamot vetiver patchouli,woody fresh,8,moderate,designer
Legend,Montblanc,lavender pineapple musk,fresh sweet,7,moderate,designer
Legend Night,Montblanc,vanilla apple wood,warm sweet,8,moderate,designer
Emblem,Montblanc,grapefruit spice wood,woody spicy,7,moderate,designer
Presence,Montblanc,cinnamon ginger amber,warm spicy,8,moderate,designer
Individuel,Montblanc,raspberry vanilla musk,sweet,8,moderate,designer
Chrome,Azzaro,lemon aquatic musk,fresh aquatic,7,moderate,designer
Wanted,Azzaro,lemon ginger tonka,sweet fresh,8,strong,designer
Most Wanted,Azzaro,toffee vanilla spice,sweet,9,strong,designer
Pour Homme,Azzaro,anise lavender citrus,fresh classic,7,moderate,designer
Visit,Azzaro,nutmeg cardamom wood,spicy,8,moderate,designer
